Lipid_name,Amine,Tail
Li_enzyme_cat_AA12_C16,Li_enzyme_cat_AA12,Li_enzyme_cat_C16
Li_enzyme_cat_AA12_C18,Li_enzyme_cat_AA12,Li_enzyme_cat_C18
Li_enzyme_cat_AA12_Oleic,Li_enzyme_cat_AA12,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA12_Linoleic,Li_enzyme_cat_AA12,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA13_C8,Li_enzyme_cat_AA13,Li_enzyme_cat_C8
Li_enzyme_cat_AA13_C10,Li_enzyme_cat_AA13,Li_enzyme_cat_C10
Li_enzyme_cat_AA13_C12,Li_enzyme_cat_AA13,Li_enzyme_cat_C12
Li_enzyme_cat_AA13_C14,Li_enzyme_cat_AA13,Li_enzyme_cat_C14
Li_enzyme_cat_AA13_C16,Li_enzyme_cat_AA13,Li_enzyme_cat_C16
Li_enzyme_cat_AA13_C18,Li_enzyme_cat_AA13,Li_enzyme_cat_C18
Li_enzyme_cat_AA13_Oleic,Li_enzyme_cat_AA13,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA13_Linoleic,Li_enzyme_cat_AA13,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA14_C8,Li_enzyme_cat_AA14,Li_enzyme_cat_C8
Li_enzyme_cat_AA14_C10,Li_enzyme_cat_AA14,Li_enzyme_cat_C10
Li_enzyme_cat_AA14_C12,Li_enzyme_cat_AA14,Li_enzyme_cat_C12
Li_enzyme_cat_AA14_C14,Li_enzyme_cat_AA14,Li_enzyme_cat_C14
Li_enzyme_cat_AA14_C16,Li_enzyme_cat_AA14,Li_enzyme_cat_C16
Li_enzyme_cat_AA14_C18,Li_enzyme_cat_AA14,Li_enzyme_cat_C18
Li_enzyme_cat_AA14_Oleic,Li_enzyme_cat_AA14,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA14_Linoleic,Li_enzyme_cat_AA14,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA15_C8,Li_enzyme_cat_AA15,Li_enzyme_cat_C8
Li_enzyme_cat_AA15_C10,Li_enzyme_cat_AA15,Li_enzyme_cat_C10
Li_enzyme_cat_AA15_C12,Li_enzyme_cat_AA15,Li_enzyme_cat_C12
Li_enzyme_cat_AA15_C14,Li_enzyme_cat_AA15,Li_enzyme_cat_C14
Li_enzyme_cat_AA15_C16,Li_enzyme_cat_AA15,Li_enzyme_cat_C16
Li_enzyme_cat_AA15_C18,Li_enzyme_cat_AA15,Li_enzyme_cat_C18
Li_enzyme_cat_AA15_Oleic,Li_enzyme_cat_AA15,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA15_Linoleic,Li_enzyme_cat_AA15,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA16_C8,Li_enzyme_cat_AA16,Li_enzyme_cat_C8
Li_enzyme_cat_AA16_C10,Li_enzyme_cat_AA16,Li_enzyme_cat_C10
Li_enzyme_cat_AA16_C12,Li_enzyme_cat_AA16,Li_enzyme_cat_C12
Li_enzyme_cat_AA16_C14,Li_enzyme_cat_AA16,Li_enzyme_cat_C14
Li_enzyme_cat_AA16_C16,Li_enzyme_cat_AA16,Li_enzyme_cat_C16
Li_enzyme_cat_AA16_C18,Li_enzyme_cat_AA16,Li_enzyme_cat_C18
Li_enzyme_cat_AA16_Oleic,Li_enzyme_cat_AA16,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA16_Linoleic,Li_enzyme_cat_AA16,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA17_C8,Li_enzyme_cat_AA17,Li_enzyme_cat_C8
Li_enzyme_cat_AA17_C10,Li_enzyme_cat_AA17,Li_enzyme_cat_C10
Li_enzyme_cat_AA17_C12,Li_enzyme_cat_AA17,Li_enzyme_cat_C12
Li_enzyme_cat_AA17_C14,Li_enzyme_cat_AA17,Li_enzyme_cat_C14
Li_enzyme_cat_AA17_C16,Li_enzyme_cat_AA17,Li_enzyme_cat_C16
Li_enzyme_cat_AA17_C18,Li_enzyme_cat_AA17,Li_enzyme_cat_C18
Li_enzyme_cat_AA17_Oleic,Li_enzyme_cat_AA17,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA17_Linoleic,Li_enzyme_cat_AA17,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA18_C8,Li_enzyme_cat_AA18,Li_enzyme_cat_C8
Li_enzyme_cat_AA18_C10,Li_enzyme_cat_AA18,Li_enzyme_cat_C10
Li_enzyme_cat_AA18_C12,Li_enzyme_cat_AA18,Li_enzyme_cat_C12
Li_enzyme_cat_AA18_C14,Li_enzyme_cat_AA18,Li_enzyme_cat_C14
Li_enzyme_cat_AA18_C16,Li_enzyme_cat_AA18,Li_enzyme_cat_C16
Li_enzyme_cat_AA18_C18,Li_enzyme_cat_AA18,Li_enzyme_cat_C18
Li_enzyme_cat_AA18_Oleic,Li_enzyme_cat_AA18,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA18_Linoleic,Li_enzyme_cat_AA18,Li_enzyme_cat_Linoleic
