Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Comment
Zhou_dendrimer,50,38,10,2,DSPC,11.82908271,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,12.25837594,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,11.94197744,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,14.43429323,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,14.11046617,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,5.941556391,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,10.60206015,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,12.46930827,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,14.74326316,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,3.132541353,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,10.63201504,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,12.88374436,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,13.32046617,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,13.31303759,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,12.9966391,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.69988722,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.69245865,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.37606015,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,3.463766917,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,5.933827068,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,6.15218797,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,13.41107519,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,13.84779699,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,13.84036842,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,13.52396992,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,16.33268421,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,16.32525564,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,16.00885714,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,4.722263158,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,14.36769925,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,14.05130075,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,16.64165414,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,11.87538346,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,14.46573684,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,14.57863158,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,17.5982782,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,17.59084962,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,17.27445113,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,12.31947368,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.42978947,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.4223609,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,18.22364662,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,17.90724812,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.5203985,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.9571203,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.63329323,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,18.86387218,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,18.85644361,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,18.54004511,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,7.199421053,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,10.29881203,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,11.80518045,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,14.19942857,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,10.18066917,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,12.77842105,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,18.95283459,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,9.727714286,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,6.378278195,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,6.800142857,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,16.2788797,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,6.769827068,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,7.191691729,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,15.14310526,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,17.95181955,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,2.816142857,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,3.24543609,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,3.041902256,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,2.831300752,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,2.936766917,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,5.090097744,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,5.308458647,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,5.090097744,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,4.984631579,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
Zhou_dendrimer,50,38,10,2,DSPC,5.090097744,"""The mol ratio of dendrimer to siLuc was 100:1 during this screening phase."" Used 13300Da for siRNA"
