Amine,Tail,Lipid_name,Num tails,MolWt,Value_name,Model_type,Target_or_delivered_gene,Delivery_target,Route_of_administration,Experiment_weight
Zhou_dendrimer_5A2,Zhou_dendrimer_SC11,Zhou_dendrimer_5A2-SC11,5,2052.162,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A3,Zhou_dendrimer_SC11,Zhou_dendrimer_5A3-SC11,5,2051.174,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A2,Zhou_dendrimer_SC11,Zhou_dendrimer_6A2-SC11,6,2423.745,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC11,Zhou_dendrimer_6A3-SC11,6,2381.664,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A1,Zhou_dendrimer_SC12,Zhou_dendrimer_5A1-SC12,5,2064.213,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A2,Zhou_dendrimer_SC12,Zhou_dendrimer_5A2-SC12,5,2122.297,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC12,Zhou_dendrimer_5A4-SC12,5,2079.228,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A1,Zhou_dendrimer_SC12,Zhou_dendrimer_6A1-SC12,6,2508.895,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A2,Zhou_dendrimer_SC12,Zhou_dendrimer_6A2-SC12,6,2507.907,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC12,Zhou_dendrimer_6A3-SC12,6,2465.826,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A3,Zhou_dendrimer_SC14,Zhou_dendrimer_2A3-SC14,2,957.523,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A1,Zhou_dendrimer_SO5,Zhou_dendrimer_4A1-SO5,4,1369.742,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A3,Zhou_dendrimer_SO6,Zhou_dendrimer_5A3-SO6,5,1570.089,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SO7,Zhou_dendrimer_6A3-SO7,6,1888.524,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A5,Zhou_dendrimer_SO9,Zhou_dendrimer_3A5-SO9,3,1354.029,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A3,Zhou_dendrimer_SO9,Zhou_dendrimer_4A3-SO9,4,1699.53,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A1,Zhou_dendrimer_SO9,Zhou_dendrimer_6A1-SO9,6,2520.727,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A2,Zhou_dendrimer_SN1,Zhou_dendrimer_4A2-SN1,4,1293.786,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H4,Zhou_dendrimer_SN2,Zhou_dendrimer_2H4-SN2,2,848.311,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H6,Zhou_dendrimer_SN2,Zhou_dendrimer_2H6-SN2,2,904.419,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A2,Zhou_dendrimer_SN5,Zhou_dendrimer_6A2-SN5,6,2165.091,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H4,Zhou_dendrimer_SN6,Zhou_dendrimer_2H4-SN6,2,900.387,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H6,Zhou_dendrimer_SN6,Zhou_dendrimer_2H6-SN6,2,956.495,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SN8,Zhou_dendrimer_5A4-SN8,5,2014.033,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SN8,Zhou_dendrimer_6A3-SN8,6,2387.592,FFL silencing,HeLa,FFL,hela,in_vitro,1
