Lipid_name,Amine,Ketone,Isocyanide,Is_cyclic,Model_type,Delivery_target
LM_3CR_A1Iso2CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A1Iso3CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A1Iso4CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A1Iso5CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso6CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso7CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A1Iso8CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A1Iso9CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso10CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A1Iso1CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A1Iso2CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A1Iso3CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A1Iso4CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A1Iso5CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso6CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso7CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A1Iso8CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A1Iso9CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso10CC6,LM_3CR_A1,LM_3CR_CC6,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A1Iso1C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A1Iso2C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A1Iso3C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A1Iso4C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A1Iso5C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso6C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso7C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso7,Yes,HeLa,hela
