Lipid_name,Delivery_target,Comment,Total_radiance,Isocyanide,Amine,Aldehyde,Carboxylic_acid
A23I4R23C18 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18
A23I4R23C18-1 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18-1
A23I4R23C18-2 ,liver,estimated from Fig 4C,74800,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18-2
A1I5R22C8 ,liver,estimated from Fig 4g,136000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C8
A1I5R22C10 ,liver,estimated from Fig 4g,200000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C10
A1I5R22C12 ,liver,estimated from Fig 4g,200000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C12
A1I5R22C14 ,liver,estimated from Fig 4g,200000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C14
A1I5R22C16 ,liver,estimated from Fig 4g,200000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C16
A1I5R22C18 ,liver,estimated from Fig 4g,98900,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C18
A1I5R22C18-2 ,liver,estimated from Fig 4g,200000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C18-2
A1I5R22C11-S ,liver,estimated from Fig 4g,102000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C11-S
A1I5R22C13-S ,liver,estimated from Fig 4g,200000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C13-S
A1I5R22C15-S ,liver,estimated from Fig 4g,200000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C15-S
A1I5R22C17-S ,liver,estimated from Fig 4g,1000000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C17-S
A1I5R22C19-S ,liver,estimated from Fig 4g,2000000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C19-S
A1I5R22C21,liver,estimated from Fig S12,1140000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C21
A1I12R22C51,liver,estimated from Fig S12,1500000,He_4CR_I12,He_4CR_R22,He_4CR_A1,He_4CR_C51
A1I12R47C21,liver,estimated from Fig S12,300000,He_4CR_I12,He_4CR_R47,He_4CR_A1,He_4CR_C21
DLin-MC3-DMA,liver,,200000000,,,,
