Amine,Tail,Lipid_name,Linker,MolWt
Li_Thiolyne_5,Li_Thiolyne_C11,Li_Thiolyne_B5C11,Li_Thiolyne_B,601.108
Li_Thiolyne_5,Li_Thiolyne_C12,Li_Thiolyne_B5C12,Li_Thiolyne_B,629.162
Li_Thiolyne_5,Li_Thiolyne_C16,Li_Thiolyne_B5C16,Li_Thiolyne_B,741.378
Li_Thiolyne_5,Li_Thiolyne_C6,Li_Thiolyne_B5C6,Li_Thiolyne_B,460.838
Li_Thiolyne_5,Li_Thiolyne_C7,Li_Thiolyne_B5C7,Li_Thiolyne_B,488.892
Li_Thiolyne_5,Li_Thiolyne_C8,Li_Thiolyne_B5C8,Li_Thiolyne_B,516.946
Li_Thiolyne_5,Li_Thiolyne_C9,Li_Thiolyne_B5C9,Li_Thiolyne_B,545
Li_Thiolyne_6,Li_Thiolyne_C10,Li_Thiolyne_B6C10,Li_Thiolyne_B,545
Li_Thiolyne_6,Li_Thiolyne_C11,Li_Thiolyne_B6C11,Li_Thiolyne_B,573.054
Li_Thiolyne_6,Li_Thiolyne_C12,Li_Thiolyne_B6C12,Li_Thiolyne_B,601.108
Li_Thiolyne_6,Li_Thiolyne_C16,Li_Thiolyne_B6C16,Li_Thiolyne_B,713.324
Li_Thiolyne_6,Li_Thiolyne_C6,Li_Thiolyne_B6C6,Li_Thiolyne_B,432.784
Li_Thiolyne_6,Li_Thiolyne_C7,Li_Thiolyne_B6C7,Li_Thiolyne_B,460.838
Li_Thiolyne_6,Li_Thiolyne_C8,Li_Thiolyne_B6C8,Li_Thiolyne_B,488.892
Li_Thiolyne_6,Li_Thiolyne_C9,Li_Thiolyne_B6C9,Li_Thiolyne_B,516.946
Li_Thiolyne_7,Li_Thiolyne_C10,Li_Thiolyne_B7C10,Li_Thiolyne_B,600.08
Li_Thiolyne_7,Li_Thiolyne_C11,Li_Thiolyne_B7C11,Li_Thiolyne_B,628.134
Li_Thiolyne_7,Li_Thiolyne_C12,Li_Thiolyne_B7C12,Li_Thiolyne_B,656.188
Li_Thiolyne_7,Li_Thiolyne_C16,Li_Thiolyne_B7C16,Li_Thiolyne_B,768.404
Li_Thiolyne_7,Li_Thiolyne_C6,Li_Thiolyne_B7C6,Li_Thiolyne_B,487.864
Li_Thiolyne_7,Li_Thiolyne_C7,Li_Thiolyne_B7C7,Li_Thiolyne_B,515.918
Li_Thiolyne_7,Li_Thiolyne_C8,Li_Thiolyne_B7C8,Li_Thiolyne_B,543.972
Li_Thiolyne_7,Li_Thiolyne_C9,Li_Thiolyne_B7C9,Li_Thiolyne_B,572.026
