Lipid_name,Amine,Tail
RM_branched_ester_M04_R13,RM_branched_ester_M04,RM_branched_ester_R13
RM_branched_ester_M04_R14,RM_branched_ester_M04,RM_branched_ester_R14
RM_branched_ester_M04_R15,RM_branched_ester_M04,RM_branched_ester_R15
RM_branched_ester_M04_R16,RM_branched_ester_M04,RM_branched_ester_R16
RM_branched_ester_M04_R02,RM_branched_ester_M04,RM_branched_ester_R02
RM_branched_ester_M04_R03,RM_branched_ester_M04,RM_branched_ester_R03
RM_branched_ester_M04_R04,RM_branched_ester_M04,RM_branched_ester_R04
RM_branched_ester_M04_R05,RM_branched_ester_M04,RM_branched_ester_R05
RM_branched_ester_M04_R06,RM_branched_ester_M04,RM_branched_ester_R06
RM_branched_ester_M04_R07,RM_branched_ester_M04,RM_branched_ester_R07
RM_branched_ester_M04_R08,RM_branched_ester_M04,RM_branched_ester_R08
RM_branched_ester_M04_R09,RM_branched_ester_M04,RM_branched_ester_R09
RM_branched_ester_M05_R01,RM_branched_ester_M05,RM_branched_ester_R01
RM_branched_ester_M05_R10,RM_branched_ester_M05,RM_branched_ester_R10
RM_branched_ester_M05_R11,RM_branched_ester_M05,RM_branched_ester_R11
RM_branched_ester_M05_R12,RM_branched_ester_M05,RM_branched_ester_R12
RM_branched_ester_M05_R13,RM_branched_ester_M05,RM_branched_ester_R13
RM_branched_ester_M05_R14,RM_branched_ester_M05,RM_branched_ester_R14
RM_branched_ester_M05_R15,RM_branched_ester_M05,RM_branched_ester_R15
RM_branched_ester_M05_R16,RM_branched_ester_M05,RM_branched_ester_R16
RM_branched_ester_M05_R02,RM_branched_ester_M05,RM_branched_ester_R02
RM_branched_ester_M05_R03,RM_branched_ester_M05,RM_branched_ester_R03
RM_branched_ester_M05_R04,RM_branched_ester_M05,RM_branched_ester_R04
RM_branched_ester_M05_R05,RM_branched_ester_M05,RM_branched_ester_R05
RM_branched_ester_M05_R06,RM_branched_ester_M05,RM_branched_ester_R06
RM_branched_ester_M05_R07,RM_branched_ester_M05,RM_branched_ester_R07
RM_branched_ester_M05_R08,RM_branched_ester_M05,RM_branched_ester_R08
RM_branched_ester_M05_R09,RM_branched_ester_M05,RM_branched_ester_R09
RM_branched_ester_M08_R01,RM_branched_ester_M08,RM_branched_ester_R01
RM_branched_ester_M08_R10,RM_branched_ester_M08,RM_branched_ester_R10
RM_branched_ester_M08_R11,RM_branched_ester_M08,RM_branched_ester_R11
RM_branched_ester_M08_R12,RM_branched_ester_M08,RM_branched_ester_R12
RM_branched_ester_M08_R13,RM_branched_ester_M08,RM_branched_ester_R13
RM_branched_ester_M08_R14,RM_branched_ester_M08,RM_branched_ester_R14
RM_branched_ester_M08_R15,RM_branched_ester_M08,RM_branched_ester_R15
RM_branched_ester_M08_R16,RM_branched_ester_M08,RM_branched_ester_R16
RM_branched_ester_M08_R02,RM_branched_ester_M08,RM_branched_ester_R02
RM_branched_ester_M08_R03,RM_branched_ester_M08,RM_branched_ester_R03
RM_branched_ester_M08_R04,RM_branched_ester_M08,RM_branched_ester_R04
RM_branched_ester_M08_R05,RM_branched_ester_M08,RM_branched_ester_R05
RM_branched_ester_M08_R06,RM_branched_ester_M08,RM_branched_ester_R06
RM_branched_ester_M08_R07,RM_branched_ester_M08,RM_branched_ester_R07
