Lipid_name,4CR_Lipid_name,Amine,Isocyanide,Aldehyde,Carboxylic_acid,Model_type,Delivery_target,Route_of_administration,Experiment_weight,screen_id
IR_4CR_aldehyde_234-9,234-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_343-9,343-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_643-9,643-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_544-9,544-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_644-9,644-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_313-22,313-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_414-22,414-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_714-22,714-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_822-22,822-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_8,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_724-22,724-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_533-22,533-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_543-22,543-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_411-23,411-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_711-23,711-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_514-23,514-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_521-23,521-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_332-23,332-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_241-9,241-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_622-9,622-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_821-9,821-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_8,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
