Amine,Tail,Lipid_name,Library_ID
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
na,na,other,other
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R13,RM_branched_ester_M10_R13,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R20,RM_branched_ester_M10_R20,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M10,RM_branched_ester_R21,RM_branched_ester_M10_R21,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R13,RM_branched_ester_M68_R13,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
RM_branched_ester_M68,RM_branched_ester_R20,RM_branched_ester_M68_R20,RM_Michael_addition_branched
